,Age,Gender,Tenure,Usage Frequency,Support Calls,Subscription Type,Contract Length,Total Spend,Churn,predicted,correct
0,26,Male,51,19,6,Premium,Quarterly,761,0,1,False
3,48,Male,57,30,10,Standard,Monthly,362,0,1,False
4,41,Female,45,27,5,Basic,Monthly,675,0,1,False
8,54,Male,31,27,7,Basic,Quarterly,412,0,1,False
13,37,Female,22,3,6,Standard,Quarterly,200,0,1,False
14,55,Female,14,20,3,Basic,Monthly,606,0,1,False
20,21,Male,41,6,6,Premium,Monthly,356,0,1,False
24,39,Female,60,26,1,Standard,Monthly,860,1,0,False
39,23,Female,58,30,10,Premium,Annual,193,0,1,False
56,56,Female,7,11,5,Standard,Annual,407,1,0,False
73,34,Male,41,18,8,Standard,Monthly,560,0,1,False
80,51,Female,59,25,10,Basic,Quarterly,212,0,1,False
91,46,Female,51,2,5,Standard,Monthly,548,0,1,False
94,33,Female,32,19,8,Standard,Monthly,996,0,1,False
104,22,Male,26,22,5,Basic,Annual,515,0,1,False
111,40,Male,27,20,8,Premium,Quarterly,976,0,1,False
115,57,Female,56,16,10,Standard,Annual,705,0,1,False
126,52,Male,46,11,5,Basic,Quarterly,133,0,1,False
138,36,Female,28,4,10,Standard,Quarterly,393,0,1,False
179,45,Female,58,16,10,Premium,Annual,510,0,1,False
196,30,Female,52,10,0,Premium,Monthly,874,0,1,False
203,27,Female,50,25,5,Premium,Quarterly,389,0,1,False
204,45,Female,50,20,8,Basic,Quarterly,767,0,1,False
221,55,Female,53,6,10,Premium,Monthly,648,0,1,False
242,30,Male,59,15,9,Standard,Annual,597,0,1,False
247,60,Female,8,14,9,Premium,Quarterly,324,1,0,False
250,63,Male,29,24,5,Basic,Monthly,631,0,1,False
266,39,Female,50,26,3,Standard,Annual,223,1,0,False
271,59,Male,60,7,9,Standard,Quarterly,164,0,1,False
288,38,Female,49,1,6,Basic,Quarterly,265,0,1,False
291,64,Female,53,10,10,Basic,Annual,122,0,1,False
293,65,Male,44,10,6,Basic,Quarterly,674,0,1,False
303,52,Male,27,27,7,Premium,Monthly,262,0,1,False
317,34,Male,58,8,7,Basic,Monthly,291,0,1,False
324,63,Male,38,8,10,Premium,Monthly,461,1,0,False
329,62,Female,47,17,5,Premium,Annual,364,0,1,False
340,25,Male,53,6,5,Basic,Quarterly,379,0,1,False
353,60,Female,8,29,0,Premium,Monthly,157,0,1,False
369,19,Female,57,10,2,Standard,Monthly,936,1,0,False
372,57,Female,33,17,7,Standard,Annual,956,0,1,False
378,25,Female,34,30,10,Basic,Monthly,459,0,1,False
380,44,Female,47,21,10,Premium,Quarterly,368,1,0,False
384,65,Male,60,19,10,Premium,Monthly,552,0,1,False
385,34,Male,46,7,6,Basic,Quarterly,447,0,1,False
395,44,Male,60,15,8,Standard,Monthly,153,0,1,False
413,41,Male,34,18,7,Premium,Quarterly,557,0,1,False
414,28,Female,45,4,6,Basic,Annual,718,0,1,False
429,29,Female,16,19,9,Standard,Monthly,573,0,1,False
432,23,Female,31,5,5,Standard,Quarterly,694,0,1,False
434,28,Male,57,11,5,Standard,Quarterly,572,0,1,False
444,58,Male,34,23,8,Premium,Monthly,564,0,1,False
467,54,Female,55,18,10,Basic,Annual,596,0,1,False
476,61,Female,8,21,7,Basic,Monthly,814,0,1,False
478,43,Male,51,6,5,Standard,Monthly,315,0,1,False
484,23,Female,24,8,6,Premium,Annual,253,0,1,False
493,50,Female,41,21,9,Basic,Quarterly,387,0,1,False
507,36,Male,44,17,8,Standard,Quarterly,923,0,1,False
512,33,Female,10,20,5,Basic,Annual,349,1,0,False
513,59,Male,25,22,7,Premium,Quarterly,575,0,1,False
534,48,Male,37,13,8,Standard,Annual,285,0,1,False
535,35,Female,53,12,8,Basic,Monthly,237,0,1,False
540,42,Male,57,28,9,Standard,Monthly,215,0,1,False
543,36,Female,26,26,10,Basic,Monthly,785,0,1,False
545,60,Female,30,13,9,Basic,Annual,366,0,1,False
552,23,Female,30,9,10,Basic,Annual,387,0,1,False
575,44,Female,42,2,9,Basic,Annual,794,0,1,False
590,44,Female,18,16,0,Premium,Monthly,439,1,0,False
